task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,none,none,2,2,37,37,2048,16384,0,128,1.7557326763934158,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,128,256,1.7070799896864979,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,256,384,1.6653116387088587,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,384,512,1.6290841252967625,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,512,640,1.7336267336545839,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,640,768,1.6937314121371299,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,768,896,1.6288169982881127,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,896,1024,1.6745514618301227,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1024,1152,1.652794896188642,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1152,1280,1.666427296925066,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1280,1408,1.686318950621351,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1408,1536,1.6708098410677557,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1536,1664,1.6960636075420767,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1664,1792,1.6991983785984348,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1792,1920,1.6728204506968392,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,1920,2048,1.6422842341726072,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2048,2176,1.7168450991275255,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2176,2304,1.7195117321643416,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2304,2432,1.6315775349754778,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2432,2560,1.664165412801822,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2560,2688,1.6688491633102822,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2688,2816,1.6722346213456962,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2816,2944,1.6321268286992459,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,2944,3072,1.7091804597992866,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3072,3200,1.678074329913687,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3200,3328,1.6270653284474408,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3328,3456,1.7070967096458303,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3456,3584,1.6650877968855982,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3584,3712,1.648748308492259,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3712,3840,1.677779563611426,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3840,3968,1.688927501881799,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,3968,4096,1.667485082958264,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4096,4224,1.724210730546351,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4224,4352,1.7114203059109232,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4352,4480,1.714012937985263,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4480,4608,1.667615436927166,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4608,4736,1.6871148393712687,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4736,4864,1.6853604664354798,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4864,4992,1.6721197916347241,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,4992,5120,1.6460453801303654,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,5120,5248,1.6397373106635675,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,5248,5376,1.6438496048721762,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,5376,5504,1.6694161236130702,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,5504,5632,1.6871337442943921,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,5632,5760,1.6389414491605505,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,5760,5888,1.6464586149612168,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,5888,6016,1.656836838359024,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6016,6144,1.650510467400921,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6144,6272,1.6948280935310946,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6272,6400,1.6554086786387894,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6400,6528,1.7262908507678891,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6528,6656,1.668157990603191,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6656,6784,1.646509402485616,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6784,6912,1.7134181154761396,64,6000,1099
pg19,none,none,2,2,37,37,2048,16384,6912,7040,1.6463482889934293,64,6000,1099
